shift_date,day_of_week,month,performance_phase,strategy_stage,shift_type,start_time,end_time,hours_worked,active_minutes,idle_minutes,gross_earnings,estimated_miles,orders_completed,offers_received,offers_declined,acceptance_rate_pct,stacked_orders,strategic_exceptions,lowest_offer_accepted,highest_offer_declined,zone,bonus_active,peak_pay_per_order,merchant_category,primary_merchant,avg_merchant_wait_minutes,total_wait_minutes,avg_delivery_minutes,weather,traffic_level,dominant_dropoff_type,energy_start_rating,fatigue_end_rating,stress_rating,earnings_per_hour,avg_dollars_per_order,avg_dollars_per_mile,miles_per_order,orders_per_hour,notes
2026-04-02,Thursday,2026-04,3,Consistent selective acceptance,Dinner,17:00,21:30,4.5,224,46,65.86,39.6,9,27,18,33.9,2,0,6.83,9.99,Southwest,No,0.0,Quick Service,Wendy's,6.7,60,24.8,Clear,Moderate,House,7.2,3.6,4.2,14.64,7.32,1.66,4.4,2.0,Worked only the strongest dinner window.
2026-04-03,Friday,2026-04,3,Consistent selective acceptance,Peak Pay,16:30,19:30,3.0,170,10,58.39,31.2,7,23,16,30.9,2,0,6.39,12.45,Henderson,Yes,1.0,Fast Casual,Cafe Rio,8.6,60,24.3,Clear,Heavy,Business,8.0,5.9,4.1,19.46,8.34,1.87,4.46,2.33,Avoided weak stacks and apartment-heavy routes.
2026-04-04,Saturday,2026-04,3,Consistent selective acceptance,Dinner,16:00,20:30,4.5,249,21,70.67,37.8,9,20,11,45.6,2,1,6.98,9.17,Green Valley,No,0.0,Quick Service,McDonald's,10.0,90,27.7,Cloudy,Moderate,Apartment,8.1,6.2,3.3,15.7,7.85,1.87,4.2,2.0,Avoided weak stacks and apartment-heavy routes.
2026-04-05,Sunday,2026-04,3,Consistent selective acceptance,Peak Pay,17:30,22:30,5.0,275,25,95.66,49.8,11,27,16,40.6,2,0,6.4,11.75,Henderson,Yes,1.0,Quick Service,Chick-fil-A,5.5,60,25.0,Clear,Moderate,Apartment,8.5,4.0,4.0,19.13,8.7,1.92,4.53,2.2,Avoided weak stacks and apartment-heavy routes.
2026-04-06,Monday,2026-04,3,Consistent selective acceptance,Peak Pay,16:00,19:45,3.75,212,13,68.55,44.9,8,24,16,33.5,1,0,6.85,9.14,Southwest,Yes,1.5,Quick Service,McDonald's,4.4,35,26.4,Clear,Moderate,House,7.3,5.5,3.9,18.28,8.57,1.53,5.61,2.13,Used estimated time to protect hourly earnings.
2026-04-09,Thursday,2026-04,3,Consistent selective acceptance,Dinner,17:30,21:15,3.75,205,20,84.53,42.2,9,25,16,35.6,2,1,6.15,11.25,Summerlin,Yes,3.0,Fast Casual,Chipotle,7.2,65,22.8,Cloudy,Low,Apartment,6.9,4.9,3.7,22.54,9.39,2.0,4.69,2.4,Applied $7+ and $2 per mile targets.
2026-04-10,Friday,2026-04,3,Consistent selective acceptance,Weekend Dinner,17:00,21:30,4.5,246,24,106.73,65.5,11,30,19,37.1,2,1,6.99,12.16,Henderson,Yes,2.5,Fast Casual,Chipotle,4.0,44,22.3,Clear,Moderate,House,6.7,5.5,6.3,23.72,9.7,1.63,5.95,2.44,Used estimated time to protect hourly earnings.
2026-04-11,Saturday,2026-04,3,Consistent selective acceptance,Dinner,18:00,20:45,2.75,132,33,54.87,27.9,7,26,19,27.4,1,0,6.68,11.74,Henderson,No,0.0,Fast Casual,Cafe Rio,5.8,41,18.8,Hot,Moderate,Business,5.9,4.3,3.6,19.95,7.84,1.97,3.99,2.55,Used estimated time to protect hourly earnings.
2026-04-12,Sunday,2026-04,3,Consistent selective acceptance,Dinner,16:00,20:30,4.5,250,20,67.77,46.6,9,38,29,23.5,2,0,6.64,9.48,Southwest,No,0.0,Fast Casual,Cafe Rio,6.1,55,27.8,Windy,Heavy,Apartment,7.1,5.7,4.0,15.06,7.53,1.45,5.18,2.0,Avoided weak stacks and apartment-heavy routes.
2026-04-14,Tuesday,2026-04,3,Consistent selective acceptance,Dinner,17:00,21:30,4.5,253,17,73.58,39.6,11,28,17,39.3,1,0,7.04,11.26,Henderson,No,0.0,Quick Service,Taco Bell,2.6,29,23.0,Clear,Moderate,Apartment,7.8,4.0,2.6,16.35,6.69,1.86,3.6,2.44,Used estimated time to protect hourly earnings.
2026-04-15,Wednesday,2026-04,3,Consistent selective acceptance,Targeted Sprint,16:00,19:30,3.5,200,10,35.67,22.6,5,11,6,45.5,1,0,6.33,11.15,North Las Vegas,No,0.0,Restaurant,Outback Steakhouse,5.6,28,40.0,Hot,Low,House,6.8,4.8,4.2,10.19,7.13,1.58,4.52,1.43,Used estimated time to protect hourly earnings.
2026-04-16,Thursday,2026-04,3,Consistent selective acceptance,Dinner,16:30,21:15,4.75,262,23,78.75,45.4,11,28,17,38.6,1,1,7.5,9.24,Henderson,No,0.0,Fast Casual,Cafe Rio,6.1,67,23.8,Cloudy,Heavy,House,6.7,7.1,5.0,16.58,7.16,1.73,4.13,2.32,Used estimated time to protect hourly earnings.
2026-04-17,Friday,2026-04,3,Consistent selective acceptance,Peak Pay,16:00,20:00,4.0,223,17,72.19,39.2,8,19,11,41.1,2,0,6.18,8.61,Henderson,Yes,2.5,Quick Service,Taco Bell,8.4,67,27.9,Hot,Heavy,Apartment,6.8,5.2,5.6,18.05,9.02,1.84,4.9,2.0,Applied $7+ and $2 per mile targets.
2026-04-18,Saturday,2026-04,3,Consistent selective acceptance,Weekend Dinner,16:30,20:45,4.25,243,12,81.67,53.1,10,23,13,43.9,1,0,7.12,8.3,Summerlin,No,0.0,Fast Casual,Cafe Rio,8.9,89,24.3,Windy,Low,Hotel,6.9,4.2,4.2,19.22,8.17,1.54,5.31,2.35,Avoided weak stacks and apartment-heavy routes.
2026-04-19,Sunday,2026-04,3,Consistent selective acceptance,Dinner,17:00,21:15,4.25,235,20,82.34,46.0,10,24,14,42.3,1,1,7.04,11.63,Henderson,Yes,1.5,Fast Casual,Chipotle,7.2,72,23.5,Windy,Moderate,Business,7.3,6.5,4.4,19.37,8.23,1.79,4.6,2.35,Used estimated time to protect hourly earnings.
2026-04-24,Friday,2026-04,3,Consistent selective acceptance,Dinner,17:30,21:30,4.0,216,24,64.59,34.8,10,35,25,28.6,1,1,6.42,9.15,Green Valley,No,0.0,Fast Casual,Teriyaki Madness,3.1,31,21.6,Clear,Moderate,Business,9.4,4.8,2.2,16.15,6.46,1.86,3.48,2.5,Used estimated time to protect hourly earnings.
2026-04-26,Sunday,2026-04,3,Consistent selective acceptance,Weekend Dinner,18:00,22:45,4.75,273,12,87.14,55.4,9,26,17,34.0,2,0,6.78,8.5,Southwest,Yes,1.5,Restaurant,Yard House,12.1,108,30.3,Clear,Heavy,House,8.4,6.1,3.2,18.35,9.68,1.57,6.16,1.89,Avoided weak stacks and apartment-heavy routes.
2026-04-28,Tuesday,2026-04,3,Consistent selective acceptance,Lunch,11:00,14:45,3.75,209,16,63.6,36.8,9,29,20,30.8,2,0,6.43,12.55,Southwest,No,0.0,Dessert/Coffee,Starbucks,7.1,64,23.3,Clear,Moderate,House,7.5,4.2,5.6,16.96,7.07,1.73,4.09,2.4,Applied $7+ and $2 per mile targets.
2026-05-02,Saturday,2026-05,3,Consistent selective acceptance,Dinner,17:30,21:30,4.0,226,14,108.64,52.4,11,26,15,42.4,2,1,7.32,11.9,Henderson,Yes,3.0,Fast Casual,Chipotle,8.0,88,20.5,Clear,Low,Hotel,7.6,4.8,4.9,27.16,9.88,2.07,4.76,2.75,Applied $7+ and $2 per mile targets.
2026-05-07,Thursday,2026-05,3,Consistent selective acceptance,Peak Pay,17:30,21:15,3.75,201,24,56.72,28.0,8,27,19,29.4,2,0,7.33,12.15,Green Valley,Yes,1.0,Fast Casual,Teriyaki Madness,7.1,57,25.2,Windy,Moderate,Hotel,7.6,3.6,3.1,15.13,7.09,2.03,3.5,2.13,Avoided weak stacks and apartment-heavy routes.
2026-05-08,Friday,2026-05,3,Consistent selective acceptance,Dinner,18:00,21:45,3.75,191,34,67.94,34.7,9,29,20,30.9,1,1,6.62,10.29,Henderson,No,0.0,Quick Service,McDonald's,6.7,60,21.2,Hot,Low,Apartment,6.4,6.3,5.3,18.12,7.55,1.96,3.86,2.4,Worked only the strongest dinner window.
2026-05-09,Saturday,2026-05,3,Consistent selective acceptance,Dinner,16:00,20:15,4.25,238,17,57.88,35.8,8,27,19,30.0,2,0,6.68,10.27,Summerlin,No,0.0,Fast Casual,Chipotle,5.3,43,29.8,Hot,Moderate,House,7.0,5.8,5.6,13.62,7.24,1.62,4.47,1.88,Used estimated time to protect hourly earnings.
2026-05-10,Sunday,2026-05,3,Consistent selective acceptance,Weekend Dinner,17:00,21:45,4.75,258,27,59.11,30.4,10,38,28,26.2,2,1,7.08,10.89,Henderson,No,0.0,Quick Service,Chick-fil-A,6.8,68,25.8,Clear,Moderate,Hotel,6.8,4.6,4.0,12.44,5.91,1.94,3.04,2.11,Worked only the strongest dinner window.
2026-05-16,Saturday,2026-05,3,Consistent selective acceptance,Targeted Sprint,18:00,22:15,4.25,239,16,67.06,33.0,9,34,25,26.4,2,0,6.0,10.0,Green Valley,No,0.0,Quick Service,McDonald's,6.3,57,26.6,Clear,Heavy,House,8.1,3.6,5.4,15.78,7.45,2.03,3.67,2.12,Used estimated time to protect hourly earnings.
2026-05-19,Tuesday,2026-05,4,Optimized targeted shifts,Dinner,16:00,20:00,4.0,221,19,75.35,36.9,10,39,29,25.4,2,0,7.32,13.33,Green Valley,No,0.0,Dessert/Coffee,Crumbl,6.0,60,22.1,Clear,Moderate,House,6.5,4.1,5.0,18.84,7.53,2.04,3.69,2.5,Stopped when order quality dropped.
2026-05-20,Wednesday,2026-05,4,Optimized targeted shifts,Lunch,10:45,14:00,3.25,181,14,70.25,35.7,8,22,14,36.0,2,0,6.56,12.92,Green Valley,No,0.0,Dessert/Coffee,Nothing Bundt Cakes,4.7,37,22.7,Hot,Moderate,Apartment,6.6,3.8,3.9,21.62,8.78,1.97,4.46,2.46,Strong zone positioning reduced dead miles.
2026-05-22,Friday,2026-05,4,Optimized targeted shifts,Dinner,17:00,20:15,3.25,179,16,70.8,31.5,8,37,29,21.9,2,0,5.83,11.86,Henderson,No,0.0,Fast Casual,Panda Express,5.9,47,22.4,Clear,Heavy,Business,7.7,4.8,2.7,21.78,8.85,2.25,3.94,2.46,Short focused shift beat older long shifts.
2026-05-25,Monday,2026-05,4,Optimized targeted shifts,Dinner,16:00,20:45,4.75,270,15,91.46,44.8,10,44,34,22.7,1,0,7.16,12.3,Green Valley,No,0.0,Restaurant,Outback Steakhouse,12.8,120,27.0,Cloudy,Low,House,10,4.8,3.0,19.25,9.15,2.04,4.48,2.11,Targeted high-volume merchants and stopped after peak.
2026-05-26,Tuesday,2026-05,4,Optimized targeted shifts,Dinner,17:00,20:00,3.0,163,17,63.11,25.8,6,25,19,24.1,1,0,7.5,12.69,Henderson,No,0.0,Quick Service,Wendy's,8.6,51,27.1,Clear,Heavy,Business,7.2,2.5,3.3,21.04,10.52,2.45,4.3,2.0,Stopped when order quality dropped.
2026-05-31,Sunday,2026-05,4,Optimized targeted shifts,Targeted Sprint,16:00,20:15,4.25,240,15,90.38,42.3,10,36,26,28.1,1,0,6.91,12.3,Green Valley,No,0.0,Restaurant,Outback Steakhouse,7.7,77,24.0,Clear,Moderate,House,8.1,5.1,4.8,21.27,9.04,2.14,4.23,2.35,Short focused shift beat older long shifts.
2026-06-03,Wednesday,2026-06,4,Optimized targeted shifts,Dinner,17:30,22:15,4.75,277,8,94.15,43.5,9,48,39,18.8,2,0,7.35,11.89,Southwest,No,0.0,Restaurant,Olive Garden,4.4,40,30.8,Cloudy,Low,House,5.5,5.0,5.4,19.82,10.46,2.16,4.83,1.89,Stopped when order quality dropped.
2026-06-05,Friday,2026-06,4,Optimized targeted shifts,Weekend Dinner,16:00,19:30,3.5,191,19,74.93,34.8,5,30,25,16.7,1,0,7.46,11.07,Summerlin,No,0.0,Quick Service,Taco Bell,6.8,34,38.2,Clear,Heavy,House,8.8,4.7,5.0,21.41,14.99,2.15,6.96,1.43,Stopped when order quality dropped.
2026-06-10,Wednesday,2026-06,4,Optimized targeted shifts,Dinner,16:00,19:15,3.25,186,9,69.77,27.7,8,40,32,20.0,1,0,6.83,10.83,Southwest,No,0.0,Quick Service,Taco Bell,2.6,21,23.2,Clear,Low,House,8.4,2.8,4.5,21.47,8.72,2.52,3.46,2.46,Short focused shift beat older long shifts.
2026-06-11,Thursday,2026-06,4,Optimized targeted shifts,Targeted Sprint,16:30,19:45,3.25,180,15,63.89,24.3,7,22,15,32.3,1,0,7.07,10.49,Henderson,No,0.0,Quick Service,Taco Bell,5.1,36,25.8,Clear,Moderate,House,8.6,3.6,2.9,19.66,9.13,2.63,3.47,2.15,Strong zone positioning reduced dead miles.
2026-06-12,Friday,2026-06,4,Optimized targeted shifts,Dinner,17:00,19:15,2.25,115,20,45.39,17.6,6,31,25,19.6,1,0,7.62,13.97,Green Valley,No,0.0,Fast Casual,Cafe Rio,4.4,27,19.2,Clear,Low,House,6.2,5.0,2.3,20.17,7.57,2.58,2.93,2.67,Targeted high-volume merchants and stopped after peak.
2026-06-13,Saturday,2026-06,4,Optimized targeted shifts,Weekend Dinner,18:00,21:30,3.5,193,17,73.89,33.2,7,50,43,14.1,1,0,6.19,9.47,Summerlin,Yes,1.0,Restaurant,BJ's Restaurant,4.3,30,27.5,Clear,Moderate,House,5.2,3.2,5.5,21.11,10.56,2.23,4.74,2.0,Targeted high-volume merchants and stopped after peak.
2026-06-14,Sunday,2026-06,4,Optimized targeted shifts,Weekend Dinner,17:30,20:45,3.25,169,26,69.1,29.2,9,36,27,25.0,1,0,7.43,12.89,Henderson,No,0.0,Fast Casual,Cafe Rio,3.8,34,18.8,Cloudy,Moderate,House,7.8,4.0,3.2,21.26,7.68,2.37,3.24,2.77,Strong zone positioning reduced dead miles.
2026-06-15,Monday,2026-06,4,Optimized targeted shifts,Peak Pay,18:00,20:30,2.5,132,18,57.81,26.8,6,29,23,21.0,1,0,7.79,11.8,Green Valley,Yes,1.5,Quick Service,Taco Bell,7.9,48,22.0,Clear,Low,Business,6.2,4.9,2.2,23.12,9.63,2.16,4.47,2.4,Strong zone positioning reduced dead miles.
2026-06-24,Wednesday,2026-06,4,Optimized targeted shifts,Dinner,17:30,20:00,2.5,138,12,56.84,26.0,5,20,15,25.6,1,0,7.42,13.47,North Las Vegas,Yes,3.0,Fast Casual,Panda Express,6.9,34,27.6,Clear,Moderate,Business,5.2,3.7,4.5,22.74,11.37,2.19,5.2,2.0,Stopped when order quality dropped.
2026-06-25,Thursday,2026-06,4,Optimized targeted shifts,Dinner,17:00,20:45,3.75,216,9,79.8,32.1,6,26,20,22.7,1,0,6.84,8.16,Henderson,No,0.0,Grocery,Albertsons,8.4,50,35.9,Clear,Moderate,House,5.4,2.8,3.6,21.28,13.3,2.49,5.35,1.6,Strong zone positioning reduced dead miles.
2026-06-27,Saturday,2026-06,4,Optimized targeted shifts,Dinner,17:30,21:00,3.5,202,8,65.08,30.9,6,21,15,28.5,1,0,7.99,11.38,North Las Vegas,No,0.0,Fast Casual,Teriyaki Madness,2,12,33.6,Cloudy,Heavy,House,6.8,3.3,4.2,18.59,10.85,2.11,5.15,1.71,Strong zone positioning reduced dead miles.
2026-06-28,Sunday,2026-06,4,Optimized targeted shifts,Weekend Dinner,16:30,20:30,4.0,226,14,94.64,45.3,9,55,46,16.4,2,0,7.19,11.96,Henderson,Yes,2.5,Dessert/Coffee,Nothing Bundt Cakes,8.7,78,25.1,Clear,Moderate,Business,7.7,4.3,3.6,23.66,10.52,2.09,5.03,2.25,Strong zone positioning reduced dead miles.
2026-07-03,Friday,2026-07,4,Optimized targeted shifts,Weekend Dinner,17:30,20:30,3.0,173,7,63.01,25.0,6,36,30,16.9,1,0,7.35,12.06,Southwest,Yes,1.5,Restaurant,Yard House,6.5,39,28.8,Hot,Moderate,Hotel,7.2,4.4,5.3,21.0,10.5,2.52,4.17,2.0,Targeted high-volume merchants and stopped after peak.
2026-07-05,Sunday,2026-07,4,Optimized targeted shifts,Peak Pay,16:30,20:45,4.25,250,5,92.63,35.7,7,27,20,26.0,2,0,6.86,12.75,Henderson,Yes,2.0,Grocery,Albertsons,3.7,26,35.7,Hot,Heavy,House,8.2,4.9,3.0,21.8,13.23,2.59,5.1,1.65,Stopped when order quality dropped.
2026-07-07,Tuesday,2026-07,4,Optimized targeted shifts,Dinner,16:30,19:45,3.25,187,8,88.35,39.6,9,41,32,21.9,1,0,7.5,11.07,Henderson,No,0.0,Restaurant,Olive Garden,6.5,59,20.8,Clear,Moderate,Business,7.8,6.5,5.0,27.18,9.82,2.23,4.4,2.77,Stopped when order quality dropped.
2026-07-10,Friday,2026-07,4,Optimized targeted shifts,Weekend Dinner,18:00,21:45,3.75,211,14,81.94,42.2,10,43,33,23.4,1,0,6.8,13.74,Green Valley,No,0.0,Fast Casual,Teriyaki Madness,3.2,32,21.1,Clear,Moderate,Hotel,7.4,4.1,3.0,21.85,8.19,1.94,4.22,2.67,Short focused shift beat older long shifts.
2026-07-11,Saturday,2026-07,4,Optimized targeted shifts,Weekend Dinner,16:30,20:00,3.5,196,14,91.13,46.9,10,33,23,30.3,2,0,7.2,11.26,Henderson,No,0.0,Fast Casual,Chipotle,4.2,42,19.6,Hot,Moderate,Hotel,8.2,4.8,4.2,26.04,9.11,1.94,4.69,2.86,Stopped when order quality dropped.
2026-07-13,Monday,2026-07,4,Optimized targeted shifts,Peak Pay,18:00,21:00,3.0,171,9,65.22,25.3,6,27,21,22.0,1,0,7.02,12.26,Southwest,Yes,3.0,Quick Service,McDonald's,4.1,25,28.5,Windy,Moderate,House,8.7,3.9,3.9,21.74,10.87,2.58,4.22,2.0,Stopped when order quality dropped.
2026-07-17,Friday,2026-07,4,Optimized targeted shifts,Dinner,16:30,20:00,3.5,195,15,67.55,35.0,8,31,23,25.8,2,0,7.41,11.99,Henderson,No,0.0,Fast Casual,Teriyaki Madness,3.0,24,24.4,Cloudy,Moderate,House,6.4,5.1,3.9,19.3,8.44,1.93,4.38,2.29,Strong zone positioning reduced dead miles.
2026-07-18,Saturday,2026-07,4,Optimized targeted shifts,Peak Pay,18:00,21:45,3.75,215,10,69.89,32.1,8,43,35,18.6,1,0,7.58,12.9,Henderson,Yes,1.0,Dessert/Coffee,Starbucks,4.5,36,26.8,Clear,Heavy,Apartment,7.8,3.1,1.8,18.64,8.74,2.18,4.01,2.13,Stopped when order quality dropped.
2026-07-19,Sunday,2026-07,4,Optimized targeted shifts,Peak Pay,16:00,19:30,3.5,192,18,77.57,36.1,8,26,18,31.2,1,0,7.9,13.3,Green Valley,Yes,2.0,Quick Service,Wendy's,5.6,44,24.0,Hot,Moderate,House,8.3,6.5,3.3,22.16,9.7,2.15,4.51,2.29,Targeted high-volume merchants and stopped after peak.
